GoogleCountry,Ecosystem,GoogleCity,Region,flag
Albania,Tirana,Durrs,Europe,-2
Albania,Tirana,Kamz,Europe,-2
Albania,Tirana,Shkodr,Europe,-2
Albania,Tirana,Vlor,Europe,-2
Albania,Tirana,Tirana,Europe,1
Albania,Tirana,Ishull Shngjin,Europe,-2
Albania,Tirana,KOSOVE,Europe,1
Albania,Tirana,Kamëz,Europe,-2
Albania,Tirana,Kashar,Europe,-2
Algeria,Algiers,Saoula,Africa,-2
Algeria,Algiers,Kouba,Africa,-2
Algeria,Algiers,Boufarik,Africa,-2
Algeria,Algiers,Chraga,Africa,-2
Algeria,Algiers,Ben Aknoun,Africa,-2
Algeria,Algiers,Rouba,Africa,-2
Algeria,Algiers,Rghaa,Africa,-2
Algeria,Algiers,Tizi Ouzo,Africa,-2
Algeria,Algiers,Fouka,Africa,-2
Algeria,Algiers,Algiers,Africa,1
Algeria,Algiers,Zeralda,Africa,-2
Algeria,Algiers,Staoueli,Africa,-2
Algeria,Algiers,Alger Centre,Africa,-2
Algeria,Algiers,Draria,Africa,-2
Algeria,Algiers,Birtouta,Africa,-2
Algeria,Algiers,El Madania,Africa,-2
Algeria,Algiers,Sidi M'Hamed,Africa,-2
Angola,Luanda,Belas,Africa,1
Angola,Luanda,Luanda,Africa,1
Argentina,Buenos Aires,Moreno,Latin America,1
Argentina,Buenos Aires,Villa Crespo,Latin America,-2
Argentina,Buenos Aires,Liniers,Latin America,-2
Argentina,Buenos Aires,Banfield,Latin America,1
Argentina,Buenos Aires,Béccar,Latin America,-2
Argentina,Buenos Aires,Recoleta,Latin America,-2
Argentina,Buenos Aires,Buenos Aires,Latin America,1
Argentina,Buenos Aires,Puerto Madero,Latin America,-2
Argentina,Rosario,Arroyo Seco,Latin America,-2
Argentina,Cordoba,Córdoba,Latin America,1
Argentina,Buenos Aires,Garn,Latin America,-2
Argentina,Buenos Aires,Parque Patricios,Latin America,-2
Argentina,Buenos Aires,Los Troncos del Talar,Latin America,-2
Argentina,Cordoba,Villa Allende,Latin America,-2
Argentina,Buenos Aires,Monte Grande,Latin America,-2
Argentina,Buenos Aires,Bernal,Latin America,-2
Argentina,Rosario,Hernández,Latin America,-2
Argentina,Buenos Aires,San Isidro,Latin America,1
Argentina,Buenos Aires,Villa Luzuriaga,Latin America,-2
Argentina,Cordoba,Alta Gracia,Latin America,-2
Argentina,Buenos Aires,General Pacheco,Latin America,-2
Argentina,Buenos Aires,-1,Latin America,1
Argentina,Buenos Aires,Vicente López,Latin America,1
Argentina,Buenos Aires,Campana,Latin America,1
Argentina,Buenos Aires,Ezpeleta,Latin America,-2
Argentina,Cordoba,Nono,Latin America,-2
Argentina,Rosario,Victoria,Latin America,1
Argentina,Buenos Aires,Martínez,Latin America,-2
Argentina,Buenos Aires,City Bell,Latin America,-2
Argentina,Buenos Aires,Boulogne,Latin America,1
Argentina,Buenos Aires,Palermo,Latin America,1
Argentina,Buenos Aires,Tigre,Latin America,1
Argentina,Buenos Aires,Grand Bourg,Latin America,-2
Argentina,Buenos Aires,San Justo,Latin America,1
Argentina,Buenos Aires,José C. Paz,Latin America,-2
Argentina,Buenos Aires,Olivos,Latin America,-2
